CustomerKey,FirstName,LastName,Full Name,Customer City,Gender,DateFirstPurchase
11000,Jon,Yang,Jon Yang,Rockhampton,Male,2018-01-19
11001,Eugene,Huang,Eugene Huang,Seaford,Male,2018-01-15
11002,Ruben,Torres,Ruben Torres,Hobart,Male,2018-01-07
11003,Christy,Zhu,Christy Zhu,North Ryde,Female,2017-12-29
11004,Elizabeth,Johnson,Elizabeth Johnson,Wollongong,Female,2018-01-23
11005,Julio,Ruiz,Julio Ruiz,East Brisbane,Male,2017-12-30
11006,Janet,Alvarez,Janet Alvarez,Matraville,Female,2018-01-24
11007,Marco,Mehta,Marco Mehta,Warrnambool,Male,2018-01-09
11008,Rob,Verhoff,Rob Verhoff,Bendigo,Female,2018-01-25
11009,Shannon,Carlson,Shannon Carlson,Hervey Bay,Male,2018-01-27
11010,Jacquelyn,Suarez,Jacquelyn Suarez,East Brisbane,Female,2018-01-14
11011,Curtis,Lu,Curtis Lu,East Brisbane,Male,2017-12-30
11012,Lauren,Walker,Lauren Walker,Bremerton,Female,2020-03-16
11013,Ian,Jenkins,Ian Jenkins,Lebanon,Male,2020-04-13
11014,Sydney,Bennett,Sydney Bennett,Redmond,Female,2020-03-23
11015,Chloe,Young,Chloe Young,Burbank,Female,2020-01-18
11016,Wyatt,Hill,Wyatt Hill,Imperial Beach,Male,2020-02-09
11017,Shannon,Wang,Shannon Wang,Sunbury,Female,2018-01-12
11018,Clarence,Rai,Clarence Rai,Bendigo,Male,2018-01-17
11019,Luke,Lal,Luke Lal,Langley,Male,2020-02-12
11020,Jordan,King,Jordan King,Metchosin,Male,2019-12-29
11021,Destiny,Wilson,Destiny Wilson,Beaverton,Female,2020-01-23
11022,Ethan,Zhang,Ethan Zhang,Bellingham,Male,2020-01-20
11023,Seth,Edwards,Seth Edwards,Bellflower,Male,2020-02-17
11024,Russell,Xie,Russell Xie,Concord,Male,2020-06-27
11025,Alejandro,Beck,Alejandro Beck,Hawthorne,Male,2018-01-06
11026,Harold,Sai,Harold Sai,Goulburn,Male,2018-01-23
11027,Jessie,Zhao,Jessie Zhao,Warrnambool,Male,2018-01-16
11028,Jill,Jimenez,Jill Jimenez,St. Leonards,Female,2018-01-26
11029,Jimmy,Moreno,Jimmy Moreno,Bendigo,Male,2018-01-19
11030,Bethany,Yuan,Bethany Yuan,Cloverdale,Female,2018-02-05
11031,Theresa,Ramos,Theresa Ramos,Matraville,Female,2018-02-01
11032,Denise,Stone,Denise Stone,Melbourne,Female,2018-02-18
11033,Jaime,Nath,Jaime Nath,Milsons Point,Male,2018-02-15
11034,Ebony,Gonzalez,Ebony Gonzalez,North Sydney,Female,2018-02-01
11035,Wendy,Dominguez,Wendy Dominguez,Cranbourne,Female,2018-02-06
11036,Jennifer,Russell,Jennifer Russell,National City,Female,2020-01-22
11037,Chloe,Garcia,Chloe Garcia,Cliffside,Female,2020-01-20
11038,Diana,Hernandez,Diana Hernandez,Lavender Bay,Female,2018-02-07
11039,Marc,Martin,Marc Martin,Wollongong,Male,2018-02-07
11040,Jesse,Murphy,Jesse Murphy,Tacoma,Male,2020-04-03
11041,Amanda,Carter,Amanda Carter,Glendale,Female,2020-01-14
11042,Megan,Sanchez,Megan Sanchez,Los Angeles,Female,2020-01-21
11043,Nathan,Simmons,Nathan Simmons,Glendale,Male,2020-05-08
11044,Adam,Flores,Adam Flores,Hervey Bay,Male,2018-02-28
11045,Leonard,Nara,Leonard Nara,Matraville,Male,2020-04-10
11046,Christine,Yuan,Christine Yuan,Lavender Bay,Female,2018-02-06
11047,Jaclyn,Lu,Jaclyn Lu,Geelong,Female,2018-02-03
11048,Jeremy,Powell,Jeremy Powell,Sunbury,Male,2018-02-10
11049,Carol,Rai,Carol Rai,Chula Vista,Female,2020-03-09
11050,Alan,Zheng,Alan Zheng,Hobart,Male,2018-02-20
11051,Daniel,Johnson,Daniel Johnson,Caloundra,Male,2020-12-29
11052,Heidi,Lopez,Heidi Lopez,Matraville,Female,2018-02-17
11053,Ana,Price,Ana Price,San Diego,Female,2020-01-17
11054,Deanna,Munoz,Deanna Munoz,Geelong,Female,2018-02-03
11055,Gilbert,Raje,Gilbert Raje,East Brisbane,Male,2018-01-31
11056,Michele,Nath,Michele Nath,Newcastle,Female,2018-02-26
11057,Carl,Andersen,Carl Andersen,Lane Cove,Male,2018-02-22
11058,Marc,Diaz,Marc Diaz,Findon,Male,2018-03-09
11059,Ashlee,Andersen,Ashlee Andersen,Townsville,Female,2020-02-18
11060,Jon,Zhou,Jon Zhou,Warrnambool,Male,2018-03-19
11061,Todd,Gao,Todd Gao,Gold Coast,Male,2018-03-13
11062,Noah,Powell,Noah Powell,Portland,Male,2020-01-07
11063,Angela,Murphy,Angela Murphy,Redmond,Female,2020-01-12
11064,Chase,Reed,Chase Reed,Downey,Male,2020-01-25
11065,Jessica,Henderson,Jessica Henderson,La Jolla,Female,2020-02-10
11066,Grace,Butler,Grace Butler,Lebanon,Female,2020-05-31
11067,Caleb,Carter,Caleb Carter,Port Orchard,Male,2020-08-18
11068,Tiffany,Liang,Tiffany Liang,Warrnambool,Female,2020-04-30
11069,Carolyn,Navarro,Carolyn Navarro,Gold Coast,Female,2018-04-17
11070,Willie,Raji,Willie Raji,Sunbury,Male,2018-04-28
11071,Linda,Serrano,Linda Serrano,Hawthorne,Female,2020-03-01
11072,Casey,Luo,Casey Luo,St. Leonards,Female,2018-03-31
11073,Amy,Ye,Amy Ye,Springwood,Female,2020-03-23
11074,Levi,Arun,Levi Arun,Cloverdale,Male,2020-03-23
11075,Felicia,Jimenez,Felicia Jimenez,Bendigo,Female,2018-04-28
11076,Blake,Anderson,Blake Anderson,Wollongong,Male,2018-04-21
11077,Leah,Ye,Leah Ye,Melton,Female,2018-04-15
11078,Gina,Martin,Gina Martin,Cliffside,Female,2020-02-15
11079,Donald,Gonzalez,Donald Gonzalez,Geelong,Male,2020-03-15
11080,Damien,Chander,Damien Chander,Perth,Male,2018-04-10
11081,Savannah,Baker,Savannah Baker,Concord,Female,2020-02-12
11082,Angela,Butler,Angela Butler,Fremont,Female,2020-01-22
11083,Alyssa,Cox,Alyssa Cox,Lincoln Acres,Female,2020-01-06
11084,Lucas,Phillips,Lucas Phillips,Lebanon,Male,2020-01-04
11085,Emily,Johnson,Emily Johnson,Newport Beach,Female,2020-12-06
11086,Ryan,Brown,Ryan Brown,Santa Monica,Male,2020-07-02
11087,Tamara,Liang,Tamara Liang,Chula Vista,Female,2020-02-25
11088,Hunter,Davis,Hunter Davis,San Diego,Male,2020-01-13
11089,Abigail,Price,Abigail Price,Long Beach,Female,2019-12-29
11090,Trevor,Bryant,Trevor Bryant,Los Angeles,Male,2018-08-07
11091,Dalton,Perez,Dalton Perez,Haney,Male,2020-01-29
11092,Cheryl,Diaz,Cheryl Diaz,East Brisbane,Female,2018-04-08
11093,Aimee,He,Aimee He,Wollongong,Female,2018-04-07
11094,Cedric,Ma,Cedric Ma,Cranbourne,Male,2020-04-07
11095,Chad,Kumar,Chad Kumar,Port Macquarie,Male,2018-04-01
11096,Andrés,Anand,Andrés Anand,North Sydney,Male,2018-04-11
11097,Edwin,Nara,Edwin Nara,Warrnambool,Male,2018-04-04
11098,Mallory,Rubio,Mallory Rubio,Rhodes,Female,2020-02-11
11099,Adam,Ross,Adam Ross,Port Macquarie,Male,2018-04-07
11100,Latasha,Navarro,Latasha Navarro,Cloverdale,Female,2018-04-16
11101,Abby,Sai,Abby Sai,Cranbourne,Female,2018-04-29
11102,Julia,Nelson,Julia Nelson,Sydney,Female,2020-07-16
11103,Cassie,Chande,Cassie Chande,Darlinghurst,Female,2018-04-15
11104,Edgar,Sara,Edgar Sara,Gold Coast,Male,2018-05-04
11105,Candace,Fernandez,Candace Fernandez,Matraville,Female,2018-05-14
11106,Jessie,Liu,Jessie Liu,Warrnambool,Male,2018-05-18
11107,Bianca,Lin,Bianca Lin,St. Leonards,Female,2018-05-01
11108,Kari,Alvarez,Kari Alvarez,Port Macquarie,Female,2018-05-03
11109,Ruben,Kapoor,Ruben Kapoor,South Melbourne,Male,2018-05-10
11110,Curtis,Yang,Curtis Yang,Darlinghurst,Male,2018-05-01
11111,Meredith,Gutierrez,Meredith Gutierrez,Geelong,Female,2018-05-20
11112,Crystal,Wang,Crystal Wang,Hervey Bay,Female,2018-05-25
11113,Micheal,Blanco,Micheal Blanco,Perth,Male,2020-02-01
11114,Leslie,Moreno,Leslie Moreno,Rhodes,Female,2020-03-18
